mobileBrand,mobileModel,mobileOS,mobileRelease,mobilePrice
Motorola,Motorola RAZR HD XT925,"Android 4.0.4, up to 4.4.2",2012,2199.45
Samsung,Samsung Galaxy Note10 Lite,"Android 10, up to Android 11, One UI 3.1",2020,301.95
Oppo,Oppo Find X Lamborghini,"Android 8.1, up to Android 10, ColorOS 7.0",2018,4399.45
vivo,vivo V9 Youth,"Android 8.1, Funtouch 4",2018,180.95
Telit,Telit X60i,Feature phone,2004,356.95
vivo,vivo Z1Pro,"Android 9.0, up to Android 10, Funtouch 10",2019,2474.45
Allview,Allview P6 Stony,Android 4.0.4,2012,1649.45
Huawei,Huawei Ascend GX1,Android 4.4,2014,466.95
HTC,HTC Pure,Microsoft Windows Mobile 6.5 Professional,2009,246.95
BlackBerry,BlackBerry 7130g,BlackBerry OS,2006,1099.45
Ulefone,Ulefone Armor X5 Pro,Android 10,2020,1264.45
Sony,Sony CMD Z1,Feature phone,1997,191.95
HP,HP Pro Slate 12,Android 4.4.4,2015,549.45
ZTE,ZTE Axon 20 5G,"Android 10, MiFavor 10.5",2020,153.45
alcatel,alcatel OT Pocket,Feature phone,1999,494.45
Samsung,Samsung Galaxy J5 Prime (2017),Android 7.1.1,0,235.95
alcatel,alcatel OT-E257,Feature phone,2005,879.45
Spice,Spice Mi-423 Smart Flo Ivory 2,Android 4.2.2,2013,301.95
Motorola,Motorola C975,Feature phone,2004,301.95
Samsung,Samsung Galaxy J3 Emerge,"Android 6.0.1
Android 7.0 - Amp Prime 2",2017,1374.45
Micromax,Micromax H360,Feature phone,2009,2529.45
Asus,Asus M530w,Microsoft Windows Mobile 6 Standard,2008,1099.45
Gigabyte,Gigabyte g-re (o),Feature phone,2005,3299.45
Huawei,Huawei Y5 (2017),"Android 6.0, EMUI 4.1",2017,175.45
Motorola,Motorola Moto E4 (USA),Android 7.1,2017,3299.45
Motorola,Motorola MOTO MT716,Android-based OPhone 2.0,2010,1099.45
Philips,Philips Xenium 9@9v,Feature phone,2008,4949.45
Nokia,Nokia N86 8MP,"Symbian 9.3, S60 rel. 3.2",2009,142.45
Lava,Lava Z50,Android Oreo,2018,1924.45
BLU,BLU Tango,Android 2.2,2010,2199.45
alcatel,alcatel Pop C1,Android 4.2,2014,1649.45
Acer,Acer Liquid Z2,Android 4.1.1,2013,3024.45
Huawei,Huawei P30 Pro,"Android 9.0, up to Android 10, EMUI 10",2019,494.45
Yezz,Yezz 4.5EL LTE,Android 6.0,2016,494.45
T-Mobile,T-Mobile Shadow,Microsoft Windows Mobile 6.0 Standard,2007,2749.45
Pantech,Pantech Link II,Feature phone,2011,109.45
ZTE,ZTE Grand X Plus Z826,Android 4.4,2014,1649.45
Samsung,Samsung Galaxy Core Prime,"Android 4.4.4, up to 5.1.1",2014,1099.45
Xiaomi,Xiaomi Redmi Note 9 Pro,"Android 10, MIUI 11",2020,219.45
Nokia,Nokia 1100,Feature phone,2003,1649.45
Samsung,Samsung Gravity SMART,Android 2.2,2011,301.95
Oppo,Oppo Reno2 Z,"Android 9.0, up to Android 11, ColorOS 11",2019,49499.45
Posh,Posh Kick Lite S410,Android 4.4.2,2015,2199.45
Micromax,Micromax Bolt D321,Android 4.4.2,2015,8249.45
Haier,Haier M1000,Feature phone,2005,521.95
Samsung,Samsung F275,Feature phone,2008,274.45
Gionee,Gionee S6 Pro,"Android 6.0.1, Amigo 3.2",2016,329.45
Sewon,Sewon SGD-106,Feature phone,2004,235.95
Tecno,Tecno Camon X Pro,Android 8.1,2018,274.45
Gionee,Gionee Gpad G1,Android 4.0,2013,1649.45
Sony,Sony Xperia miro,Android 4.0,2012,1649.45
vivo,vivo Xshot,Android 4.3,2014,235.95
XOLO,XOLO Omega 5.0,Android 4.4.2,2014,1099.45
Huawei,Huawei nova 7 5G,"Android 10, EMUI 10.1",2020,1374.45
BenQ,BenQ EL71,Feature phone,2006,2749.45
Samsung,Samsung P310,Feature phone,2006,1649.45
Lava,Lava X3,Android 5.1,2016,1924.45
alcatel,alcatel Idol Alpha,Android 4.2,2014,1649.45
Motorola,Motorola RAZR V3xx,Feature phone,2006,3299.45
Micromax,Micromax A50 Ninja,Android 2.3.6,2012,714.45
BenQ,BenQ M220,Feature phone,2005,1374.45
ZTE,ZTE Zmax,Android 4.4.2,2014,164.45
LG,LG S365,Feature phone,2011,8249.45
Panasonic,Panasonic P41,Android 4.4.2,2014,329.45
Tecno,Tecno Spark 6 Go,"Android 10, HIOS 6.2",2020,384.45
Oppo,Oppo R7s,"Android 5.1, ColorOS 2.1",2015,4399.45
ZTE,ZTE Blade A7 Prime,Android 9.0,2019,219.45
LG,LG G4 Dual,"Android 5.1.1, up to 6.0, LG Optimus UX UI 4",2015,109.45
Sony,Sony Ericsson Z250,Feature phone,2008,153.45
Yezz,Yezz Andy 3.5E2I,Android 4.4,2015,109.45
BLU,BLU Studio J2,Android 6.0,2017,301.95
Philips,Philips T910,Android-based OPhone 2.0,2011,274.45
Acer,Acer Liquid C1,Android 4.0,2013,274.45
Philips,Philips Genie Sport,Feature phone,1999,2199.45
Vodafone,Vodafone 547,Feature phone,2010,136.95
verykool,verykool sl5009 Jet,Android 5.1,2015,98.45
Honor,Honor Magic 2 3D,"Android 9.0, EMUI 9 or Magic UI 2",2019,1374.45
alcatel,alcatel OT-V770,Feature phone,2008,1319.45
Lenovo,Lenovo Vibe X2 Pro,"Android 4.4, Vibe UI 2",2015,202.95
alcatel,alcatel OT Easy,Feature phone,1998,1649.45
Nokia,Nokia 3600 slide,Feature phone,2008,164.45
O2,O2 XDA II,Microsoft Windows Mobile 2003 for&hellip;,2003,384.45
Allview,Allview V1 Viper S,Android 4.3,2014,5499.45
Samsung,Samsung A200K Nori F,Feature phone,2010,2749.45
BLU,BLU Grand M,Android 6.0,2017,3299.45
ZTE,ZTE F870,Feature phone,2009,219.45
Apple,Apple Watch Series 6 Aluminum,"watchOS 7.0, up to 7.6",2020,191.95
HP,HP Slate10 HD,Android 4.2.2,2013,1264.45
XOLO,XOLO Q1010i,Android 4.2,2014,3299.45
BLU,BLU Deejay Touch,Feature phone,2011,1924.45
Micromax,Micromax Q55 Bling,Feature phone,2010,125.95
Spice,Spice M-4250,Feature phone,2010,2749.45
Samsung,Samsung R680 Repp,Android 2.3,2011,125.95
Samsung,Samsung Gravity SMART,Android 2.2,2011,1099.45
Wiko,Wiko Highway 4G,Android 4.4.2,2014,1539.45
NEC,NEC e949/L1,Feature phone,2005,219.45
Nokia,Nokia Asha 308,Feature phone,2012,4895
BLU,BLU Vida1,Feature phone,2010,1649.45
alcatel,alcatel OT-S521A,Feature phone,2008,1099.45
verykool,verykool i125,Feature phone,2012,439.45
Honor,Honor 9N (9i),"Android 8.0, EMUI 8",2018,1979.45
Meizu,Meizu M6T,"Android 7.0, Flyme UI",2018,879.45
Asus,Asus Zenfone Go ZB551KL,Android 5.1,2016,1374.45
i-mate,i-mate Ultimate 9150,Microsoft Windows Mobile 6.0 Professional,0,1924.45
Panasonic,Panasonic Eluga Z,"Android 4.4.2, up to 5.0",2015,153.45
Realme,Realme X50 Pro Player,"Android 10, Realme UI",2020,1374.45
O2,O2 X3,Feature phone,2004,164.45
Spice,Spice Mi-355 Stellar Craze,"Android 2.3, up to 4.0",2012,1374.45
Infinix,Infinix Note 3 Pro,Android 6.0,2016,2749.45
Celkon,Celkon A402,Android 4.4.2,2015,246.95
Sony,Sony Ericsson W850,Feature phone,2006,164.45
BenQ-Siemens,BenQ-Siemens EF81,Feature phone,2006,345.95
Sony,Sony Ericsson Hazel,Feature phone,2010,549.45
ZTE,ZTE Tempo X,Android 7.1.1,2017,1099.45
Samsung,Samsung Metro E2202,Feature phone,2013,153.45
Motorola,Motorola A3000,Microsoft Windows Mobile 6.1 Professional,2009,1649.45
Vodafone,Vodafone Smart Tab III 10.1,Android 4.2,2013,1649.45
verykool,verykool i280,Feature phone,2011,274.45
Yezz,Yezz Andy 3.5EI,Android 4.4.2,2014,1264.45
Spice,Spice Mi-280,Android 2.3,2012,2199.45
BLU,BLU G50,Android 10,2020,1649.45
Sagem,Sagem my302X,Feature phone,2005,824.45
BLU,BLU Pure XL,Android 5.1,2015,3299.45
XOLO,XOLO Q1010i,Android 4.2,2014,235.95
HTC,HTC U Play,Android 6.0,2017,180.95
Allview,Allview V1 Viper S4G,Android 4.4,2014,2749.45
LG,LG U400,Feature phone,2006,1924.45
Lava,Lava Flair Z1,Android 5.0,2015,3849.45
HP,HP Slate 7,Android 4.1,2013,290.95
i-mobile,i-mobile TV 630,Feature phone,2009,356.95
Gionee,Gionee Marathon M5 mini,"Android 5.1, Amigo 3.1",2016,879.45
XOLO,XOLO Play,Android 4.1.1,2013,274.45
Celkon,Celkon C19,Feature phone,2012,1374.45
Xiaomi,Xiaomi Redmi S2 (Redmi Y2),"Android 8.1, up to Android 9, MIUI 12",2018,109.45
Sony,Sony Ericsson T280,Feature phone,2008,4399.45
Spice,Spice M-5200 Boss Don,Feature phone,2012,274.45
BLU,BLU Studio Mega,Android 7.0,2017,494.45
Cat,Cat S41,Android 7.0,2017,180.95
Apple,Apple iPhone 11 Pro Max,"iOS 13, up to iOS 14.7",2019,1264.45
Amoi,Amoi A869,Feature phone,2006,109.45
LG,LG G7030,Feature phone,2003,235.95
Bird,Bird D680,Feature phone,0,219.45
Nokia,Nokia 3128,Feature phone,2004,125.95
Nokia,Nokia 110,Feature phone,2012,1099.45
Motorola,Motorola KRZR K3,Feature phone,2007,1099.45
Sagem,Sagem my401Z,Feature phone,2007,43.45
Nokia,Nokia 6288,Feature phone,2006,125.95
Samsung,Samsung Galaxy Pocket S5300,"Android 2.3, TouchWiz UI",2012,466.95
Bird,Bird A130,Feature phone,2004,4949.45
Gigabyte,Gigabyte GSmart MS800,Microsoft Windows Mobile 6.0 Professional,2008,3299.45
Apple,Apple iPad Wi-Fi + 3G,"iOS 4, up to iOS 5.1.1",2010,197.45
LG,LG U8290,Feature phone,2006,2749.45
HP,HP iPAQ 514,Microsoft Windows Mobile 6.0 Standard,2007,70.95
Cat,Cat S31,Android 7.0,2017,180.95
Lenovo,Lenovo S820,Android 4.2,2013,274.45
Samsung,Samsung Q100,Feature phone,2001,246.95
Motorola,Motorola Electrify M XT905,Android 4.0.4,2012,3574.45
alcatel,alcatel OT-891 Soul,Android 2.1,2011,384.45
Samsung,Samsung E215,Feature phone,2009,263.45
Samsung,Samsung Galaxy S10 Lite,"Android 10, up to Android 11, One UI 3.1",2020,329.45
Philips,Philips 550,Feature phone,2004,1264.45
Xiaomi,Xiaomi Redmi 10X 5G,"Android 10, MIUI 11",2020,439.45
Asus,Asus Memo Pad 8 ME181C,Android 4.4.2,2014,4949.45
verykool,verykool s735,Android 2.3.6,2012,301.95
Motorola,Motorola V690,Feature phone,2003,301.95
Oppo,Oppo A12s,"Android 9.0, ColorOS 6.1",2020,329.45
Samsung,Samsung Galaxy J Max,Android 5.1,2016,191.95
alcatel,alcatel 1c (2019), Android 8.1 Oreo,2019,8799.45
Sony,Sony Ericsson Z250,Feature phone,2008,549.45
Pantech,Pantech GF500,Feature phone,2005,2749.45
Celkon,Celkon A67,Android 4.0,2013,879.45
Celkon,Celkon A9,Feature phone,2012,48.95
Xiaomi,Xiaomi Redmi 3x,"Android 6.0.1, MIUI 7.3",2016,714.45
Vodafone,Vodafone Smart 4,Android 4.4.2,2014,549.45
BLU,BLU Vivo XL3,Android 8.0,2018,191.95
XOLO,XOLO Q700s plus,Android 4.4.2,2014,1099.45
Sagem,Sagem my400X,Feature phone,2006,98.45
Tecno,Tecno F2,Android 7.0,2018,3299.45
O2,O2 XDA Orion,Microsoft Windows Mobile 5.0 Smartphone,2005,494.45
YU,YU Yureka 2,Android 6.0,2017,494.45
Realme,Realme 3 Pro,"Android 9.0, planned upgrade to 10, ColorOS 6",2019,2749.45
Philips,Philips T939,Android 4.0,2013,824.45
Motorola,Motorola Droid Turbo 2,"Android 5.1.1, up to 7.0",2015,439.45
LG,LG A120,Feature phone,2010,1539.45
Allview,Allview P9 Energy mini,Android 6.0,2016,2199.45
Samsung,Samsung E1070,Feature phone,2009,1374.45
Motorola,Motorola DROID 2,Android 2.2,2010,274.45
vivo,vivo V5s,"Android 6, Funtouch 3",2017,604.45
O2,O2 XDA Terra,Microsoft Windows Mobile 5.0 PocketPC,2007,235.95
Apple,Apple Watch Series 2 Aluminum 42mm,"watchOS 3.0, up to 6.2.8",2016,7149.45
ZTE,ZTE X990,Microsoft Windows Mobile 6.5 Professional,2010,1099.45
Samsung,Samsung Mesmerize i500,"Android 2.1, up to 2.2",2010,142.45
Sewon,Sewon SG-2890CD,Feature phone,2004,70.95
Panasonic,Panasonic Eluga L 4G,Android 4.4.4,2015,5499.45
VK,VK Mobile VK500,Feature phone,2004,329.45
LG,LG Vortex VS660,Android 2.2,2010,1264.45
HP,HP Slate6 VoiceTab,Android 4.3,2014,879.45
Xiaomi,Xiaomi Redmi Note 10 Pro,"Android 11, MIUI 12",2021,2529.45
Celkon,Celkon A22,Android 4.0.4,2012,1649.45
HP,HP Slate7 VoiceTab Ultra,Android 4.2.2,2014,1924.45
Realme,Realme Narzo 20A,"Android 10, Realme UI",2020,1374.45
Spice,Spice Mi-506 Stellar Mettle Icon,Android 4.2,2014,274.45
Xiaomi,Xiaomi Mi 10 Ultra,"Android 10, MIUI 12.5",2020,4949.45
BLU,BLU Dash 4.5,Android 4.2,2013,147.95
Chea,Chea 188,Feature phone,2003,153.45
LG,LG G Pad II 10.1,Android 5.1.1,2015,98.45
Emporia,Emporia Elegance,Feature phone,2012,1374.45
Asus,Asus ROG Phone II ZS660KL,"Android 9.0, ROG UI",2019,2749.45
Micromax,Micromax X368,Feature phone,2012,1264.45
NEC,NEC N900,Feature phone,2004,3299.45
BLU,BLU J4,Android 8.1 Oreo,2019,180.95
Celkon,Celkon Campus Buddy A404,Android 4.2.2,2014,329.45
Oppo,Oppo Watch,Android Wear OS - International<b&hellip;,2020,1319.45
verykool,verykool R23,Feature phone,2011,208.45
Huawei,Huawei Children's Watch 4X,Proprietary OS,2020,2199.45
ZTE,ZTE F103,Feature phone,2009,131.45
Samsung,Samsung Galaxy Note N7000,"Android 2.3.5, up to 4.1.2, TouchWiz UI 4",2011,125.95
Micromax,Micromax Bolt A82,Android 4.4.2,2015,356.95
Micromax,Micromax A106 Unite 2,"Android 4.4.2, up to 5.0",2014,274.45
LG,LG KP152,Feature phone,2008,2749.45
Allview,Allview P4 Life,"Android 4.4.2, up to 5.0",2014,125.95
Motorola,Motorola cd930,Feature phone,1998,1374.45
Sony,Sony Ericsson V640,Feature phone,2007,714.45
Motorola,Motorola DEFY,"Android 2.1, up to 2.2",2010,191.95
Plum,Plum Caliber II,Feature phone,2013,3849.45
Allview,Allview W1i,Microsoft Windows Phone 8.1,2014,494.45
Vodafone,Vodafone Smart Tab 4G,Android 4.4,2014,1099.45
Samsung,Samsung E890,Feature phone,2006,9349.45
Tecno,Tecno Spark 3 Pro,"Android 9.0, HIOS 5.0",2019,274.45
Allview,Allview P10 Mini,Android 8.1 Oreo,2019,1374.45
Nokia,Nokia 1208,Feature phone,2007,1649.45
Philips,Philips V726,Android 2.2,2011,1099.45
XOLO,XOLO Q2500,"Android 4.2, up to 4.4.2",2014,2749.45
Chea,Chea 208,Feature phone,0,164.45
Eten,Eten glofiish V900,Microsoft Windows Mobile 6.1 Professional,2008,1649.45
Celkon,Celkon C350,Feature phone,2012,714.45
alcatel,alcatel OT-E160,Feature phone,2005,3299.45
Gionee,Gionee F103 Pro,"Android 6.0, Amigo 3.2",2016,1044.45
Celkon,Celkon A89,Android 2.3.6,2012,1484.45
Motorola,Motorola Moto E4 Plus (USA),Android 7.1,2017,2474.45
LG,LG L342i,Feature phone,2005,384.45
BlackBerry,BlackBerry Curve 8900,BlackBerry OS,2008,356.95
Samsung,Samsung B2700,Feature phone,2009,329.45
alcatel,alcatel One Touch S'Pop,Android 4.1,2013,1264.45
Samsung,Samsung Galaxy S5 Active,"Android 4.4.2, up to 6.0.1, TouchWiz UI",2014,1044.45
Archos,Archos 53 Platinum,Android 4.1.2,2013,8249.45
NEC,NEC N610,Feature phone,2004,1374.45
Oppo,Oppo R7 Plus,"Android 5.1.1, ColorOS 2.1",2015,1924.45
Samsung,Samsung Galaxy Win Pro G3812,Android 4.2.2,2013,70.95
LG,LG U8110,Feature phone,2004,824.45
Plum,Plum Orbit,Android 2.3.1,2012,301.95
Sewon,Sewon SGD-106,Feature phone,2004,4949.45
OnePlus,OnePlus 7 Pro 5G,"Android 9.0, up to 10, OxygenOS 10.0.4",2019,180.95
Motorola,Motorola Motoluxe,Android 2.3.7,2012,2474.45
Wiko,Wiko Jerry,Android 6.0,2016,208.45
BenQ,BenQ T51,Feature phone,0,164.45
Energizer,Energizer Ultimate U710S,Android 9.0,0,219.45
LG,LG GB125,Feature phone,2009,2199.45
Philips,Philips 191,Feature phone,2008,3299.45
verykool,verykool s700,Android 2.2,2012,1264.45
Honor,Honor Magic 2 3D,"Android 9.0, EMUI 9 or Magic UI 2",2019,824.45
Posh,Posh Ultra 5.0 LTE L500,Android 4.4.4,2015,2199.45
Samsung,Samsung Galaxy A8+ (2018),"Android 7.1.1, up to Android 9.0",2018,136.95
NEC,NEC N150,Feature phone,2004,3849.45
Gigabyte,Gigabyte GSmart,Android 1.6,0,301.95
Tel.Me.,Tel.Me. T910,Feature phone,2002,824.45
Gionee,Gionee M7,"Android 7.1, Amigo 5",2017,329.45
Lava,Lava X41 Plus,Android 6.0,2016,274.45
Oppo,Oppo A9,"Android 9.0, ColorOS 6",2019,274.45
alcatel,alcatel Pop 3 (5.5),Android 5.1,2016,274.45
HP,HP iPAQ 514,Microsoft Windows Mobile 6.0 Standard,2007,19249.45
Philips,Philips 630,Feature phone,2003,8249.45
Nokia,Nokia 4.2,"Android 9.0, up to Android 11, Android One",2019,191.95
Tecno,Tecno Camon 15,"Android 10, HIOS 6.0",2020,274.45
Celkon,Celkon C7 Jumbo,Feature phone,2014,1099.45
Asus,Asus Memo Pad 8 ME581CL,Android 4.4.2,2014,1374.45
alcatel,alcatel OT-890D,Android 2.2,2011,136.95
Haier,Haier M600 Black Pearl,Feature phone,2006,1099.45
Wiko,Wiko Harry,Android 7.0,2017,2474.45
Samsung,Samsung Galaxy Grand Max,Android 4.4.4,2015,1099.45
Vertu,Vertu Diamond,Feature phone,2005,329.45
Samsung,Samsung W169 Duos,Feature phone,2010,158.95
LG,LG G3 Screen,Android 4.4.4,2014,879.45
Sewon,Sewon SG-2100CS,Feature phone,2004,274.45
Prestigio,Prestigio Multipad 4 Quantum 9.7,Android 4.2,2013,329.45
Nokia,Nokia 5730 XpressMusic,"Symbian, S60 rel. 3.2",2009,274.45
Cat,Cat S52,"Android 9.0, planned upgrade to Android 10",2019,219.45
Samsung,Samsung Corby TV F339,Feature phone,2010,714.45
Yezz,Yezz Andy A4.5 1GB,Android 4.2,2013,1649.45
Samsung,Samsung Galaxy Young S6310,Android 4.1.2,2013,1099.45
alcatel,alcatel OT-S621,Feature phone,2008,103.95
Microsoft,Microsoft Lumia 532,Microsoft Windows Phone 8.1,2015,125.95
Samsung,Samsung Wave Y S5380,bada 2.0,2011,5499.45
Philips,Philips S388,Android 4.2,2014,329.45
BlackBerry,BlackBerry Evolve,Android 8.1,2018,290.95
Motorola,Motorola C250,Feature phone,2003,274.45
Ericsson,Ericsson GO 118,Feature phone,1995,824.45
Spice,Spice Mi-550 Pinnacle Stylus,Android 4.2,2013,180.95
LG,LG Connect 4G MS840,Android 2.3.5,2012,549.45
Motorola,Motorola W205,Feature phone,2007,219.45
Philips,Philips Xenium 9@9j,Feature phone,2008,153.45
QMobile,QMobile Noir X600,Android 4.2.2,2015,494.45
Panasonic,Panasonic P55 Max,Android 7.0,2017,1099.45
Huawei,Huawei Y5 (2017),"Android 6.0, EMUI 4.1",2017,274.45
vivo,vivo X50 5G,"Android 10, Funtouch 10.5",2020,219.45
Celkon,Celkon C66,Feature phone,2011,439.45
Huawei,Huawei Ascend G330,Android 4.0,2012,43.45
Huawei,Huawei Y7 Pro (2018),"Android 8.0, EMUI 8",2018,191.95
LG,LG Optimus L9 P769,Android 4.0.4,2012,329.45
Gigabyte,Gigabyte g-re (o),Feature phone,2005,604.45
LG,LG Aristo 2,Android 7.1.2,2018,164.45
Yezz,Yezz Billy 5S LTE,"Microsoft Windows 10
Microsoft&hellip;",2015,274.45
O2,O2 XDA Orion,Microsoft Windows Mobile 5.0 Smartphone,2005,1649.45
Huawei,Huawei Enjoy 6,"Android 6.0, EMUI 4.1",2016,136.95
Toshiba,Toshiba Excite Write,Android 4.2.1,2013,136.95
BlackBerry,BlackBerry 7230,BlackBerry OS,2003,384.45
O2,O2 X2i,Feature phone,2005,180.95
Xiaomi,Xiaomi Mi 9 Pro,"Android 10, MIUI 11",2019,549.45
Karbonn,Karbonn A6,Android 4.0,2013,70.95
LG,LG GB102,Feature phone,2009,10999.45
ZTE,ZTE Grand Memo V9815,Android 4.1.2,2013,109.45
Samsung,Samsung E840,Feature phone,2007,164.45
Gionee,Gionee P12,Android 10,2020,1924.45
BLU,BLU Studio Selfie 2,Android 5.1,2016,136.95
Nokia,Nokia 9300,"Symbian 7.0s, Series 80 v2.0 UI",2004,494.45
HP,HP Slate6 VoiceTab II,Android 4.4.2,2014,329.45
Asus,Asus Zenfone 4 A450CG (2014),"Android 4.4.2, up to 5.0.2",2014,235.95
HTC,HTC Touch Dual,Microsoft Windows Mobile 6.0 Professional,2007,329.45
Panasonic,Panasonic SA7,Feature phone,2005,219.45
Xiaomi,Xiaomi Redmi 3 Pro,"Android 5.1, MIUI 7.3",2016,2749.45
Energizer,Energizer Energy E220,KaiOS,2019,290.95
Yezz,Yezz Andy A4.5 1GB,Android 4.2,2013,1649.45
Oppo,Oppo Joy 3,"Android 4.4, ColorOS 2",2015,191.95
Bird,Bird D636,Feature phone,0,81.95
Icemobile,Icemobile Twister,Feature phone,0,180.95
Allview,Allview V2 Viper e,Android 5.1,2016,714.45
Panasonic,Panasonic MX6,Feature phone,2005,43.45
HTC,HTC One ST,"Android 4.0, Sense UI",2012,1649.45
Micromax,Micromax A45,Android 2.3,2012,301.95
NIU,NIU Lotto N104,Feature phone,2012,2199.45
Samsung,Samsung Galaxy S20+,"Android 10, up to Android 11, One UI 3.0",2020,246.95
Nokia,Nokia Asha 300,Feature phone,2011,136.95
ZTE,ZTE Axon mini,Android 5.1.1,2015,3299.45
Samsung,Samsung Galaxy Core Advance,Android 4.2,2014,1264.45
Plum,Plum Velocity II,Android 4.0,2013,191.95
HTC,HTC HD7,Microsoft Windows Phone 7,2010,219.45
Honor,Honor Pad 5 10.1,"Android 8.0, EMUI 8",2019,274.45
Samsung,Samsung A437,Feature phone,2007,329.45
Allview,Allview L4 Class,Feature phone,2012,2199.45
Vodafone,Vodafone Smart Tab N8,Android 7.0,2017,2199.45
LG,LG G3 LTE-A,"Android 4.4.2, up to 5.0.1",2014,10999.45
Allview,Allview Allwatch V,Proprietary OS,2018,466.95
Sony,Sony Ericsson W995,Feature phone,2009,70.95
Samsung,Samsung Galaxy Exhibit T599,Android 4.1.2,2013,824.45
Infinix,Infinix Hot S,Android 6.0,2016,3299.45
LG,LG K40,"Android 8.1, LG UX 7",2019,219.45
ZTE,ZTE nubia Z5,Android 4.1.1,2012,879.45
LG,LG GC900 Viewty Smart,Feature phone,2009,1924.45
Sony,Sony CMD Z5,Feature phone,2000,4399.45
Micromax,Micromax A61 Bolt,Android 4.1,2013,714.45
ZTE,ZTE Anthem 4G,Android 2.3,2012,301.95
Yezz,Yezz Andy 4.5M,Android 4.4.2,2014,274.45
Samsung,Samsung S7330,Feature phone,2008,2199.45
Samsung,Samsung Galaxy J7 Max,"Android 7.0, up to Android 8.0",2017,164.45
Nokia,Nokia 2652,Feature phone,2005,2747.25
QMobile,QMobile Noir E8,"Android 5.1, Amigo 3.1",2015,3299.45
BlackBerry,BlackBerry Z30,"BlackBerry OS 10.2, up to 10.3.1",2013,219.45
BLU,BLU Bold N1,"Android 9.0, planned upgrade to Android 10",2019,2199.45
Nokia,Nokia 6130,Feature phone,1998,1649.45
HTC,HTC Desire HD2,"Android 2.3, Sense UI 3",0,219.45
BenQ-Siemens,BenQ-Siemens EF91,Feature phone,2006,384.45
Meizu,Meizu M6 Note,"Android 7.1.2, Flyme 7.3",2017,824.45
HTC,HTC Desire 400 dual sim,"Android OS, Sense UI",2012,1649.45
Xiaomi,Xiaomi Mi 1S,Android 4.0,2012,494.45
Samsung,Samsung X830,Feature phone,2006,824.45
Modu,Modu Sport jacket,Feature phone,2009,714.45
Micromax,Micromax A47 Bolt,Android 4.2,2014,2199.45
LG,LG KC910 Renoir,Feature phone,2008,153.45
Huawei,Huawei MediaPad T3 7.0,"Android 6.0, EMUI 4.1",2017,494.45
Huawei,Huawei P40 Pro,"Android 10, EMUI 10.1",2020,235.95
Huawei,Huawei MediaPad M5 10 (Pro),"Android 8.0, EMUI 8",2018,1375
Maxwest,Maxwest Orbit 6200T,Android 4.2.2,2014,2749.45
LG,LG Cookie 3G T320,Feature phone,2010,1924.45
LG,LG G8000,Feature phone,2003,164.45
Samsung,Samsung i520,"Symbian OS 9.2, Series 60 v3.1 UI",2007,2199.45
HTC,HTC Desire 626 (USA),"Android 5.1, Sense 7 UI",2015,1649.45
alcatel,alcatel One Touch S'Pop,Android 4.1,2013,219.45
BLU,BLU Studio G Plus HD,Android 6.0,2016,329.45
Samsung,Samsung C3560,Feature phone,2011,2199.45
Spice,Spice Mi-502n Smart FLO Pace3,Android 4.2,2013,2199.45
