City[nameCity=Cigalontang, nameCountry=Indonesia, latitude=-7.3059077, longitude=107.9768875]
City[nameCity=Nggelok, nameCountry=Indonesia, latitude=-8.6489, longitude=120.7616]
City[nameCity=Nglego, nameCountry=Indonesia, latitude=-7.261568, longitude=112.749865]
City[nameCity=Wolonio, nameCountry=Indonesia, latitude=-8.7833, longitude=121.219]
City[nameCity=Barisan, nameCountry=Indonesia, latitude=-6.8448925, longitude=108.7883125]
City[nameCity=Muara Siberut, nameCountry=Indonesia, latitude=-1.6258482, longitude=99.1788304]
City[nameCity=Cikotok, nameCountry=Indonesia, latitude=-6.8546074, longitude=106.2963486]
City[nameCity=Cikijing, nameCountry=Indonesia, latitude=-7.0117033, longitude=108.3682641]
City[nameCity=Pericik, nameCountry=Indonesia, latitude=-6.308084, longitude=106.797267]
City[nameCity=Liliba, nameCountry=Indonesia, latitude=-10.170262, longitude=123.6427533]
City[nameCity=Babakan, nameCountry=Indonesia, latitude=-6.588201, longitude=106.804564]
City[nameCity=Palopat, nameCountry=Indonesia, latitude=1.4092978, longitude=99.2272939]
City[nameCity=Gayam, nameCountry=Indonesia, latitude=-5.7577862, longitude=105.6984455]
City[nameCity=Perjuangan, nameCountry=Indonesia, latitude=2.7523555, longitude=98.5116903]
City[nameCity=Cinyasag, nameCountry=Indonesia, latitude=-7.0961619, longitude=108.3771645]
City[nameCity=Kalidawir, nameCountry=Indonesia, latitude=-8.1950813, longitude=111.9403254]
City[nameCity=Warungpeuteuy, nameCountry=Indonesia, latitude=-7.1480086, longitude=107.8995629]
City[nameCity=Bentengjawa, nameCountry=Indonesia, latitude=-8.5305384, longitude=120.5766976]
City[nameCity=Limboto, nameCountry=Indonesia, latitude=0.6877958, longitude=122.9775675]
City[nameCity=Blangkejeren, nameCountry=Indonesia, latitude=3.9967196, longitude=97.3416152]
City[nameCity=Ringinagung, nameCountry=Indonesia, latitude=-7.6645385, longitude=111.3158022]
City[nameCity=Matango, nameCountry=Indonesia, latitude=-4.6633041, longitude=120.0141251]
City[nameCity=Padang, nameCountry=Indonesia, latitude=-0.9470832, longitude=100.417181]
City[nameCity=Banjar Paangkelod, nameCountry=Indonesia, latitude=-8.6791477, longitude=115.1786531]
City[nameCity=Purwodadi, nameCountry=Indonesia, latitude=-7.0872117, longitude=110.9134113]
City[nameCity=Kembangkerang Lauk Timur, nameCountry=Indonesia, latitude=-8.5583, longitude=116.5378]
City[nameCity=Boncong, nameCountry=Indonesia, latitude=-6.7757862, longitude=111.7465609]
City[nameCity=Singgugu, nameCountry=Indonesia, latitude=-7.1398, longitude=108.3549]
City[nameCity=Oebaki, nameCountry=Indonesia, latitude=-9.9423239, longitude=124.3865392]
City[nameCity=Kawengan, nameCountry=Indonesia, latitude=-6.944465, longitude=111.4782661]
City[nameCity=Sobang, nameCountry=Indonesia, latitude=-6.6111074, longitude=105.7703287]
City[nameCity=Kotawaikabubak, nameCountry=Indonesia, latitude=-9.635569, longitude=119.413498]
City[nameCity=Kadubadak, nameCountry=Indonesia, latitude=-6.6551319, longitude=105.8466437]
City[nameCity=Margasari, nameCountry=Indonesia, latitude=-7.0976672, longitude=109.0215438]
City[nameCity=Cinyawang, nameCountry=Indonesia, latitude=-7.5746526, longitude=108.7690065]
City[nameCity=Kuncen, nameCountry=Indonesia, latitude=-7.6535289, longitude=110.6749978]
City[nameCity=Sorongan, nameCountry=Indonesia, latitude=-6.7513288, longitude=105.7527221]
City[nameCity=Sukadana Selatan, nameCountry=Indonesia, latitude=-2.7540915, longitude=116.3426552]
City[nameCity=Tegalsari, nameCountry=Indonesia, latitude=-8.401854, longitude=114.118103]
City[nameCity=Sungai Iyu, nameCountry=Indonesia, latitude=4.4054033, longitude=98.1680005]
City[nameCity=Situbondo, nameCountry=Indonesia, latitude=-7.7888522, longitude=114.1914951]
City[nameCity=Pakalongan, nameCountry=Indonesia, latitude=-6.8898362, longitude=109.6745916]
City[nameCity=Sangari, nameCountry=Indonesia, latitude=-8.5294459, longitude=119.0109502]
City[nameCity=Karangbungur, nameCountry=Indonesia, latitude=-6.6652456, longitude=107.9117062]
City[nameCity=Kliwon Cibingbin, nameCountry=Indonesia, latitude=-7.0583, longitude=108.7592]
City[nameCity=Palaihari, nameCountry=Indonesia, latitude=-3.7901775, longitude=114.7380385]
City[nameCity=Mojorejo, nameCountry=Indonesia, latitude=-7.9017349, longitude=112.5632485]
City[nameCity=Mainang, nameCountry=Indonesia, latitude=-3.4627078, longitude=102.5318032]
City[nameCity=Yogyakarta, nameCountry=Indonesia, latitude=-7.7955798, longitude=110.3694896]
City[nameCity=Luan Balu, nameCountry=Indonesia, latitude=2.6087182, longitude=96.1686077]
City[nameCity=Setonokalong, nameCountry=Indonesia, latitude=-8.0934, longitude=111.9629]
City[nameCity=Krajan, nameCountry=Indonesia, latitude=-7.5450262, longitude=111.6556388]
City[nameCity=Tajinan, nameCountry=Indonesia, latitude=-8.0503973, longitude=112.6794582]
City[nameCity=Krajan Curahcotok, nameCountry=Indonesia, latitude=-7.7169, longitude=114.0643]
City[nameCity=Telgawah, nameCountry=Indonesia, latitude=-6.8245964, longitude=111.4544179]
City[nameCity=Atarodangwautu, nameCountry=Indonesia, latitude=-8.1836, longitude=123.759]
City[nameCity=Sukasada, nameCountry=Indonesia, latitude=-8.1928129, longitude=115.1177654]
City[nameCity=Ledok, nameCountry=Indonesia, latitude=-6.8857846, longitude=111.2219041]
City[nameCity=Sumberrejo, nameCountry=Indonesia, latitude=-7.1234674, longitude=111.8479156]
