City[nameCity=Jijiang, nameCountry=China, latitude=24.781681, longitude=118.552365]
City[nameCity=Tangchi, nameCountry=China, latitude=46.987383, longitude=123.769368]
City[nameCity=Zhengchang, nameCountry=China, latitude=34.348841, longitude=118.993664]
City[nameCity=Lianyi, nameCountry=China, latitude=35.104673, longitude=118.356414]
City[nameCity=Xilaiqiao, nameCountry=China, latitude=32.032744, longitude=119.91921]
City[nameCity=Guanyao, nameCountry=China, latitude=35.431682, longitude=112.283403]
City[nameCity=Zhuanqukou, nameCountry=China, latitude=40.767544, longitude=114.886335]
City[nameCity=Ziketan, nameCountry=China, latitude=35.588399, longitude=99.982552]
City[nameCity=Wenquan, nameCountry=China, latitude=31.364042, longitude=108.520914]
City[nameCity=Baiyin, nameCountry=China, latitude=36.545015, longitude=104.138586]
City[nameCity=Tuchengzi, nameCountry=China, latitude=46.748522, longitude=82.978928]
City[nameCity=Liujiagou, nameCountry=China, latitude=35.543089, longitude=106.550593]
City[nameCity=Xihe, nameCountry=China, latitude=34.014215, longitude=105.298756]
City[nameCity=Lefengzhen, nameCountry=China, latitude=28.861256, longitude=116.783842]
City[nameCity=Xiaolong, nameCountry=China, latitude=31.221062, longitude=121.436555]
City[nameCity=Dayong, nameCountry=China, latitude=29.103856, longitude=110.451191]
City[nameCity=Daohe, nameCountry=China, latitude=22.581293, longitude=113.896129]
City[nameCity=Shimen, nameCountry=China, latitude=29.584292, longitude=111.380014]
City[nameCity=Longjing, nameCountry=China, latitude=42.76631, longitude=129.427066]
City[nameCity=Fengting, nameCountry=China, latitude=25.22796, longitude=106.78953]
City[nameCity=Tuanlin, nameCountry=China, latitude=27.939395, longitude=104.622995]
City[nameCity=Daba, nameCountry=China, latitude=32.165, longitude=108.8822222]
City[nameCity=Hefu, nameCountry=China, latitude=31.820591, longitude=117.227219]
City[nameCity=Geshan, nameCountry=China, latitude=27.885191, longitude=119.359142]
City[nameCity=Qixia, nameCountry=China, latitude=32.096344, longitude=118.909159]
City[nameCity=Fuzhuang, nameCountry=China, latitude=19.535141, longitude=110.0608725]
City[nameCity=Yatunpu, nameCountry=China, latitude=22.915094, longitude=112.044491]
City[nameCity=Haodi, nameCountry=China, latitude=31.0507836, longitude=121.7458676]
City[nameCity=Jincheng, nameCountry=China, latitude=35.490701, longitude=112.851831]
City[nameCity=Beiling, nameCountry=China, latitude=39.877206, longitude=115.881215]
City[nameCity=Gaocheng, nameCountry=China, latitude=38.021567, longitude=114.847075]
City[nameCity=Jiangzhang, nameCountry=China, latitude=29.482105, longitude=86.228141]
City[nameCity=Taifu, nameCountry=China, latitude=41.4642919, longitude=-74.3623566]
City[nameCity=Banzhong, nameCountry=China, latitude=27.096969, longitude=119.632262]
City[nameCity=Sufang, nameCountry=China, latitude=23.0664459, longitude=113.1964636]
City[nameCity=Xiashihao, nameCountry=China, latitude=36.8539304, longitude=115.989656]
City[nameCity=Songbai, nameCountry=China, latitude=22.469575, longitude=111.89524]
City[nameCity=Liyang, nameCountry=China, latitude=31.416911, longitude=119.48421]
City[nameCity=Taiyanghe, nameCountry=China, latitude=31.630613, longitude=118.421214]
City[nameCity=Oujiangcha, nameCountry=China, latitude=28.491356, longitude=112.615076]
City[nameCity=Zhaobaoshan, nameCountry=China, latitude=29.960349, longitude=121.724208]
City[nameCity=Xinpu, nameCountry=China, latitude=27.44587, longitude=118.679751]
City[nameCity=Caoxi, nameCountry=China, latitude=35.657343, longitude=107.730679]
City[nameCity=Jinqiao, nameCountry=China, latitude=31.266133, longitude=121.611248]
City[nameCity=Xianglong, nameCountry=China, latitude=40.417358, longitude=117.500558]
City[nameCity=Hongcheng, nameCountry=China, latitude=40.417547, longitude=117.504737]
City[nameCity=Dingqing, nameCountry=China, latitude=31.412405, longitude=95.595761]
City[nameCity=Anchang, nameCountry=China, latitude=28.682892, longitude=115.858197]
City[nameCity=Jinshiqiao, nameCountry=China, latitude=40.6238989, longitude=122.5200228]
City[nameCity=Lixin, nameCountry=China, latitude=33.144724, longitude=116.208635]
City[nameCity=Luzhou, nameCountry=China, latitude=28.871569, longitude=105.44174]
City[nameCity=Shanmei, nameCountry=China, latitude=22.786186, longitude=115.375158]
City[nameCity=Donglu, nameCountry=China, latitude=23.0861808, longitude=113.4943199]
City[nameCity=Longkou, nameCountry=China, latitude=37.646108, longitude=120.477813]
City[nameCity=Shuanggang, nameCountry=China, latitude=39.042852, longitude=117.318781]
City[nameCity=Jinhu, nameCountry=China, latitude=33.025433, longitude=119.020584]
City[nameCity=Shuitai, nameCountry=China, latitude=23.236168, longitude=111.409653]
City[nameCity=Jiujie, nameCountry=China, latitude=29.574103, longitude=106.537605]
City[nameCity=Qianqiao, nameCountry=China, latitude=30.972043, longitude=117.23282]
City[nameCity=Yanjiao, nameCountry=China, latitude=39.944315, longitude=116.809657]
City[nameCity=Xibin, nameCountry=China, latitude=24.804061, longitude=118.609289]
City[nameCity=Huangnihe, nameCountry=China, latitude=43.908712, longitude=127.303425]
City[nameCity=Wutumeiren, nameCountry=China, latitude=36.909074, longitude=93.163273]
City[nameCity=Xing’an, nameCountry=China, latitude=25.611704, longitude=110.67167]
City[nameCity=Danan, nameCountry=China, latitude=41.7815196, longitude=123.4582948]
City[nameCity=Nanyang, nameCountry=China, latitude=32.990664, longitude=112.528308]
City[nameCity=Jieduo, nameCountry=China, latitude=32.596752, longitude=95.308054]
City[nameCity=Dongbang, nameCountry=China, latitude=31.647135, longitude=120.93382]
City[nameCity=Hebian, nameCountry=China, latitude=26.87365, longitude=115.102495]
City[nameCity=Xiabuji, nameCountry=China, latitude=26.885704, longitude=120.005147]
City[nameCity=Hongshan, nameCountry=China, latitude=22.517585, longitude=113.39277]
City[nameCity=Dungang, nameCountry=China, latitude=40.142128, longitude=94.661966]
City[nameCity=Xiabao, nameCountry=China, latitude=37.452432, longitude=117.523761]
City[nameCity=Yayao, nameCountry=China, latitude=30.037192, longitude=121.154634]
City[nameCity=Hanzhong, nameCountry=China, latitude=33.06748, longitude=107.023323]
City[nameCity=Chaoyang, nameCountry=China, latitude=41.57365, longitude=120.4493879]
City[nameCity=Dingbao, nameCountry=China, latitude=27.5409825, longitude=109.9643521]
City[nameCity=Yong’an, nameCountry=China, latitude=25.941937, longitude=117.365052]
City[nameCity=Beijiang, nameCountry=China, latitude=23.9563274, longitude=113.1916737]
City[nameCity=Ekou, nameCountry=China, latitude=39.134282, longitude=113.200971]
City[nameCity=Yanjiao, nameCountry=China, latitude=39.944315, longitude=116.809657]
City[nameCity=Wanying, nameCountry=China, latitude=33.048227, longitude=120.575443]
City[nameCity=Wanfa, nameCountry=China, latitude=46.228975, longitude=125.341286]
City[nameCity=Sanchang, nameCountry=China, latitude=31.893274, longitude=121.255306]
City[nameCity=Wangcao, nameCountry=China, latitude=28.109577, longitude=107.269482]
City[nameCity=Xinxing, nameCountry=China, latitude=22.69569, longitude=112.225334]
City[nameCity=Hongshi, nameCountry=China, latitude=29.891868, longitude=119.574295]
City[nameCity=Huyang, nameCountry=China, latitude=22.9353419, longitude=113.6587617]
City[nameCity=Fushan, nameCountry=China, latitude=23.021478, longitude=113.121435]
City[nameCity=Shanghang, nameCountry=China, latitude=25.049518, longitude=116.420098]
City[nameCity=Deshan, nameCountry=China, latitude=28.953619, longitude=111.70719]
City[nameCity=Luoxiong, nameCountry=China, latitude=29.820745, longitude=90.908217]
City[nameCity=Yangji, nameCountry=China, latitude=42.891255, longitude=129.508945]
City[nameCity=Dangjiaxian, nameCountry=China, latitude=34.949137, longitude=104.470279]
City[nameCity=Jubao, nameCountry=China, latitude=23.1216171, longitude=113.2694916]
City[nameCity=Duobaoshan, nameCountry=China, latitude=24.8415601, longitude=99.0818001]
City[nameCity=Daxing, nameCountry=China, latitude=39.726929, longitude=116.341395]
City[nameCity=Hong’an Chengguanzhen, nameCountry=China, latitude=31.273176, longitude=114.603098]
City[nameCity=Zhonghe, nameCountry=China, latitude=39.9666494, longitude=116.4041472]
City[nameCity=Yujing, nameCountry=China, latitude=32.5741081, longitude=-117.0553896]
City[nameCity=Huaping, nameCountry=China, latitude=26.629211, longitude=101.266195]
City[nameCity=Youchou, nameCountry=China, latitude=28.957666, longitude=109.150848]
City[nameCity=Baicheng, nameCountry=China, latitude=45.619588, longitude=122.838826]
City[nameCity=Gaozhuang, nameCountry=China, latitude=34.810487, longitude=117.323725]
City[nameCity=Zhongchao, nameCountry=China, latitude=40.63181, longitude=122.526443]
City[nameCity=Nyinqug, nameCountry=China, latitude=35.201931, longitude=100.847521]
City[nameCity=Dongjin, nameCountry=China, latitude=32.026097, longitude=112.232692]
City[nameCity=Wangbuzhuang, nameCountry=China, latitude=36.962883, longitude=115.260968]
City[nameCity=Liuzikou, nameCountry=China, latitude=39.876176, longitude=117.355421]
City[nameCity=Jiaoxie, nameCountry=China, latitude=22.705124, longitude=113.316811]
City[nameCity=Lidong, nameCountry=China, latitude=39.9791423, longitude=117.0643296]
City[nameCity=Huishangang, nameCountry=China, latitude=28.285697, longitude=112.251062]
City[nameCity=Hegeng, nameCountry=China, latitude=29.129743, longitude=105.877112]
City[nameCity=Guicheng, nameCountry=China, latitude=23.03616, longitude=113.197169]
City[nameCity=Xinzhai, nameCountry=China, latitude=36.809895, longitude=116.428916]
City[nameCity=Caofang, nameCountry=China, latitude=40.2538143, longitude=122.1250106]
City[nameCity=Huafeng, nameCountry=China, latitude=27.789796, longitude=120.67484]
City[nameCity=Xinqiao, nameCountry=China, latitude=31.058765, longitude=121.315718]
City[nameCity=Nanyanchuan, nameCountry=China, latitude=38.476374, longitude=114.24517]
City[nameCity=Liutao, nameCountry=China, latitude=39.5969371, longitude=116.0715378]
City[nameCity=Guiwu, nameCountry=China, latitude=32.86593, longitude=118.516053]
City[nameCity=Hanjiaji, nameCountry=China, latitude=29.117096, longitude=110.479191]
City[nameCity=Shanghu, nameCountry=China, latitude=31.2303904, longitude=121.4737021]
City[nameCity=Dongshi, nameCountry=China, latitude=24.660711, longitude=118.460176]
City[nameCity=Shuanglong, nameCountry=China, latitude=29.956858, longitude=107.209965]
City[nameCity=Jiaohu, nameCountry=China, latitude=35.319084, longitude=114.540858]
City[nameCity=Goubangzi, nameCountry=China, latitude=41.375722, longitude=121.781518]
City[nameCity=Dahua, nameCountry=China, latitude=23.736457, longitude=107.998149]
City[nameCity=Shaxi, nameCountry=China, latitude=26.312444, longitude=99.850365]
City[nameCity=Taoyuan, nameCountry=China, latitude=24.9936281, longitude=121.3009798]
City[nameCity=Shanhou, nameCountry=China, latitude=23.354091, longitude=116.681972]
City[nameCity=Longgang, nameCountry=China, latitude=22.720974, longitude=114.246899]
City[nameCity=Chengbei, nameCountry=China, latitude=36.650038, longitude=101.766228]
City[nameCity=Tuguan, nameCountry=China, latitude=23.146358, longitude=113.265008]
City[nameCity=Mafang, nameCountry=China, latitude=21.912701, longitude=111.902604]
City[nameCity=Balitai, nameCountry=China, latitude=38.94081, longitude=117.325744]
City[nameCity=Yingtou, nameCountry=China, latitude=35.656128, longitude=112.117922]
City[nameCity=Wangzuizi, nameCountry=China, latitude=36.222959, longitude=107.788257]
City[nameCity=Yuanping, nameCountry=China, latitude=38.731402, longitude=112.711058]
City[nameCity=Puwa, nameCountry=China, latitude=30.849368, longitude=85.240127]
City[nameCity=Guifeng, nameCountry=China, latitude=28.314706, longitude=117.343545]
City[nameCity=Runjin, nameCountry=China, latitude=47.949239, longitude=126.276226]
City[nameCity=Jianshe, nameCountry=China, latitude=31.7711077, longitude=119.9742793]
City[nameCity=Yilongyong, nameCountry=China, latitude=42.629452, longitude=120.639361]
City[nameCity=Jiawu, nameCountry=China, latitude=28.271297, longitude=87.128131]
City[nameCity=Dongchen, nameCountry=China, latitude=39.928353, longitude=116.416357]
City[nameCity=Jiesheng, nameCountry=China, latitude=22.713664, longitude=115.458167]
City[nameCity=Huanggangshan, nameCountry=China, latitude=27.8608333, longitude=117.7841666]
City[nameCity=Zhangshi, nameCountry=China, latitude=37.187796, longitude=115.387259]
City[nameCity=Duru, nameCountry=China, latitude=31.269454, longitude=95.63196]
